filters,f1,f2,c1,c2
20,0.07 (0.03),-0.08 (0.02),-0.15 (0.05),-0.1 (0.05)
19,0.07 (0.03),-0.08 (0.02),-0.15 (0.05),-0.1 (0.05)
18,0.07 (0.03),-0.07 (0.02),-0.15 (0.05),-0.1 (0.05)
17,0.07 (0.03),-0.07 (0.02),-0.15 (0.05),-0.1 (0.05)
16,0.07 (0.03),-0.07 (0.02),-0.15 (0.05),-0.1 (0.05)
15,0.06 (0.03),-0.07 (0.02),-0.16 (0.05),-0.1 (0.05)
14,0.06 (0.03),-0.07 (0.02),-0.16 (0.05),-0.1 (0.05)
13,0.06 (0.03),-0.07 (0.02),-0.16 (0.05),-0.1 (0.05)
12,0.05 (0.03),-0.07 (0.02),-0.16 (0.05),-0.1 (0.05)
11,0.05 (0.03),-0.07 (0.02),-0.16 (0.05),-0.11 (0.05)
10,0.05 (0.02),-0.06 (0.02),-0.16 (0.05),-0.11 (0.05)
