"","filters","f1","f2","c1","c2","ignore"
"1","att_pres_rt_est","0.04 (0.02)","-0.07 (0.01)","-0.16 (0.05)","-0.1 (0.05)",NA
"2","eff_pres_rt_est","0.05 (0.02)","-0.06 (0.01)","-0.16 (0.05)","-0.11 (0.05)",NA
"3","pres_rt_est","0.04 (0.02)","-0.07 (0.01)","-0.15 (0.05)","-0.11 (0.05)",NA
"4","eff_att_rt_est","0.05 (0.02)","-0.06 (0.01)","-0.15 (0.05)","-0.1 (0.05)",NA
"5","att_rt_est","0.04 (0.02)","-0.07 (0.01)","-0.14 (0.05)","-0.1 (0.05)",NA
"6","eff_rt_est","0.05 (0.02)","-0.06 (0.01)","-0.14 (0.05)","-0.11 (0.05)",NA
"7","rt_est","0.04 (0.02)","-0.07 (0.01)","-0.14 (0.05)","-0.1 (0.05)",NA
"8","eff_att_pres_est","0.05 (0.02)","-0.06 (0.01)","-0.16 (0.05)","-0.11 (0.05)",NA
"9","att_pres_est","0.04 (0.02)","-0.07 (0.01)","-0.16 (0.05)","-0.1 (0.05)",NA
"10","eff_pres_est","0.05 (0.02)","-0.06 (0.01)","-0.16 (0.05)","-0.11 (0.05)",NA
"11","pres_est","0.04 (0.02)","-0.07 (0.01)","-0.15 (0.05)","-0.11 (0.05)",NA
"12","eff_att_est","0.05 (0.02)","-0.06 (0.01)","-0.15 (0.05)","-0.1 (0.05)",NA
"13","att_est","0.04 (0.02)","-0.07 (0.01)","-0.14 (0.05)","-0.1 (0.05)",NA
"14","eff_est","0.05 (0.02)","-0.06 (0.01)","-0.14 (0.05)","-0.11 (0.05)",NA
"15","est","0.04 (0.02)","-0.07 (0.01)","-0.14 (0.05)","-0.1 (0.05)",NA
"16","eff_att_pres_rt","-0.03 (0.04)","-0.07 (0.02)","-0.16 (0.05)","-0.1 (0.05)",NA
"17","att_pres_rt","-0.05 (0.04)","-0.08 (0.02)","-0.15 (0.05)","-0.1 (0.05)",NA
"18","eff_pres_rt","-0.04 (0.04)","-0.1 (0.02)","-0.16 (0.05)","-0.11 (0.05)",NA
"19","pres_rt","-0.05 (0.04)","-0.11 (0.02)","-0.15 (0.05)","-0.11 (0.05)",NA
"20","eff_att_rt","-0.06 (0.04)","-0.07 (0.02)","-0.14 (0.05)","-0.1 (0.05)",NA
"21","att_rt","-0.07 (0.04)","-0.08 (0.02)","-0.13 (0.05)","-0.1 (0.05)",NA
"22","eff_rt","-0.06 (0.04)","-0.1 (0.02)","-0.13 (0.05)","-0.11 (0.05)",NA
"23","rt","-0.07 (0.04)","-0.11 (0.02)","-0.13 (0.05)","-0.11 (0.05)",NA
"24","eff_att_pres","-0.03 (0.04)","-0.07 (0.02)","-0.16 (0.05)","-0.1 (0.05)",NA
"25","att_pres","-0.05 (0.04)","-0.08 (0.02)","-0.15 (0.05)","-0.1 (0.05)",NA
"26","eff_pres","-0.04 (0.04)","-0.1 (0.02)","-0.16 (0.05)","-0.11 (0.05)",NA
"27","pres","-0.05 (0.04)","-0.11 (0.02)","-0.15 (0.05)","-0.11 (0.05)",NA
"28","eff_att","-0.06 (0.04)","-0.07 (0.02)","-0.14 (0.05)","-0.1 (0.05)",NA
"29","att","-0.07 (0.04)","-0.08 (0.02)","-0.13 (0.05)","-0.1 (0.05)",NA
"30","eff","-0.06 (0.04)","-0.1 (0.02)","-0.13 (0.05)","-0.11 (0.05)",NA
"31",NA,"0.05 (0.02)","-0.06 (0.01)","-0.16 (0.05)","-0.11 (0.05)","none"
